id,market,price,signedChangeRate,accTradePrice24h,accTradeVolume24h,rankByChangeRate,rankByTradeValue,timestamp
2054385,KRW-CTC,223.0,-0.0304347826,726746082.0467497,3236944.04509815,91,161,1778888869080
2054386,KRW-ANIME,6.81,-0.0421940928,862672882.424795,125279930.98517928,145,146,1778888869080
2054387,KRW-APT,1471.0,-0.0540192926,2780311269.646733,1852313.73324118,196,69,1778888869080
2054388,KRW-MOCA,20.6,-0.0593607306,498642627.2968262,24066062.90269605,215,193,1778888869080
2054389,KRW-API3,516.0,-0.0479704797,1004554208.0844568,1896520.25859013,169,133,1778888869080
2054390,KRW-AHT,2.27,-0.0299145299,161626449.12502,70415171.64510176,88,254,1778888869080
2054391,KRW-EGLD,6245.0,-0.0516324981,293473720.50198215,46233.92162003,188,223,1778888869080
2054392,KRW-BLEND,166.0,-0.0674157303,2767053037.861831,16315703.12711945,230,71,1778888869080
2054393,KRW-ERA,198.0,-0.0434782609,278595349.2327536,1393756.12137666,148,228,1778888869080
2054394,KRW-FF,132.0,0.1379310345,29157296837.856747,223163872.35217422,2,13,1778888869080
2054395,KRW-PLUME,18.0,-0.0721649485,1587333308.7590914,85337105.87294361,241,106,1778888869080
2054396,KRW-ESP,112.0,0.046728972,2295514685.3517027,20636789.08735314,5,79,1778888869080
2054397,KRW-CC,235.0,-0.0289256198,1728074233.1713672,7107644.55672146,82,98,1778888869080
2054398,KRW-NEO,4433.0,-0.0435814455,856107734.7542583,189678.48879844,151,147,1778888869080
2054399,KRW-ETC,13780.0,-0.0150107219,2776523216.145585,202437.78003106,38,70,1778888869080
2054400,KRW-IOTA,86.4,-0.0629067245,793760075.4450064,8901852.64142596,224,154,1778888869080
2054401,KRW-IOST,1.64,-0.0574712644,310069577.29253745,189059783.13562348,208,222,1778888869080
2054402,KRW-AKT,1084.0,-0.0813559322,3526001893.9148793,3040241.44164588,251,58,1778888869080
2054403,KRW-COW,264.0,-0.0434782609,202749628.96175456,761815.56485655,149,245,1778888869080
2054404,KRW-VIRTUAL,1117.0,-0.0329004329,9275533010.985682,8127699.71731293,103,25,1778888869080
2054405,KRW-ETH,3310000.0,-0.018677735,109204055364.26906,32774.71739245,47,4,1778888869080
2054406,KRW-IQ,1.63,-0.0297619048,273225834.34013355,166660499.5585401,86,230,1778888869080
2054407,KRW-IP,747.0,-0.0580075662,6835138644.608609,8896430.05886903,211,30,1778888869080
2054408,KRW-NEAR,2293.0,-0.0141874463,5443224141.921729,2365446.48510767,34,39,1778888869080
2054409,KRW-RVN,8.45,-0.0408626561,574601895.3690256,66615110.2247182,141,185,1778888869080
2054410,KRW-PRL,328.0,-0.115902965,2516050616.29647,7325351.43438458,257,75,1778888869080
2054411,KRW-AGLD,361.0,-0.0719794344,645988496.7065464,1729858.88882385,240,172,1778888869080
2054412,KRW-ID,46.6,-0.0566801619,981977221.0957478,20771787.69474608,205,136,1778888869080
2054413,KRW-IN,89.6,-0.0538542767,529805617.66148186,5807535.71580571,195,190,1778888869080
2054414,KRW-MANTRA,14.9,-0.0628930818,1471751956.2359135,95303267.73679885,223,109,1778888869080
2054415,KRW-WAL,112.0,-0.0743801653,607602201.3174634,5318116.33569558,244,176,1778888869080
2054416,KRW-PENDLE,2938.0,-0.0154155496,2337890510.6043935,777797.06514222,40,78,1778888869080
2054417,KRW-BLUR,36.3,-0.0447368421,1256353495.8945925,34420845.64021529,158,119,1778888869080
2054418,KRW-AWE,83.1,0.0158924205,1456892471.3956225,17380274.00053417,13,111,1778888869080
2054419,KRW-THETA,318.0,-0.056379822,586003790.0864522,1809739.90041371,202,181,1778888869080
2054420,KRW-AXL,95.0,-0.0306122449,2127972847.6957,21863839.48626435,92,84,1778888869080
2054421,KRW-HP,24.7,-0.0679245283,4421978307.479629,175616608.41593477,231,45,1778888869080
2054422,KRW-SAND,111.0,-0.0512820513,3481753575.947218,30802103.84007164,184,61,1778888869080
2054423,KRW-WCT,92.3,-0.0484536082,1165242119.67866,12384822.51472589,172,122,1778888869080
2054424,KRW-YGG,58.4,-0.0685805423,353867715.50174147,5792651.36386457,233,217,1778888869080
2054425,KRW-AXS,1782.0,-0.0470588235,2447010267.3010163,1344655.08387754,166,76,1778888869080
2054426,KRW-ARDR,61.3,-0.0315955766,498880163.4484096,8093916.44083099,97,192,1778888869080
2054427,KRW-AQT,796.0,-0.0257037944,412053778.3680596,515388.09630782,69,207,1778888869080
2054428,KRW-ME,160.0,-0.0361445783,1198376461.5928366,7295803.42688778,117,120,1778888869080
2054429,KRW-TRUST,102.0,-0.0377358491,899901310.9176401,8783048.38444307,127,142,1778888869080
2054430,KRW-SONIC,61.3,-0.0683890578,4260758502.7508717,67687642.60280374,232,49,1778888869080
2054431,KRW-ARB,185.0,-0.0512820513,1652153737.4623902,8748975.91906842,185,104,1778888869080
2054432,KRW-POL,135.0,-0.0357142857,2164795600.4331574,15805819.70630828,115,81,1778888869080
2054433,KRW-CVC,46.0,-0.0233545648,6442310526.545308,131787420.94145554,59,32,1778888869080
2054434,KRW-T,8.71,-0.0300668151,357263219.8932435,40555371.76055539,89,216,1778888869080
2054435,KRW-W,19.6,-0.0798122066,3287622367.9400897,163507118.51477435,250,64,1778888869080
2054436,KRW-ARK,254.0,-0.0378787879,750893761.1184155,2925514.74103435,128,157,1778888869080
2054437,KRW-AVNT,215.0,-0.0444444444,2052918675.0387406,9472759.06497453,156,87,1778888869080
2054438,KRW-LA,195.0,-0.0487804878,2057371962.0441523,10154390.27121072,173,86,1778888869080
2054439,KRW-HYPER,164.0,-0.0238095238,811495917.4415509,4888088.60601707,61,151,1778888869080
2054440,KRW-ATH,9.15,-0.0701219512,3491150525.224752,370141142.49694633,238,60,1778888869080
2054441,KRW-TAIKO,167.0,-0.0402298851,555461079.5110673,3267933.78705709,138,187,1778888869080
2054442,KRW-AVAX,14180.0,-0.031420765,4249653902.1828218,295865.60692317,95,50,1778888869080
2054443,KRW-XAUT,6759000.0,-0.0167297061,1695023191.12376,249.47844651,42,100,1778888869080
2054444,KRW-CPOOL,50.3,-0.0598130841,3516987373.250563,68621430.25664826,216,59,1778888869080
2054445,KRW-IMX,276.0,-0.0769230769,3804933133.215825,13061006.54577832,247,54,1778888869080
2054446,KRW-SC,1.41,-0.0208333333,444312527.2273631,312271075.8206942,54,202,1778888869080
2054447,KRW-INJ,7275.0,-0.0452755906,5643223434.000209,754394.58085088,162,36,1778888869080
2054448,KRW-MVL,1.93,-0.0203045685,107035459.81447358,55515483.29058598,53,259,1778888869080
2054449,KRW-HIVE,91.3,-0.039957939,702189238.4022118,7623676.06773552,137,165,1778888869080
2054450,KRW-CBK,372.0,-0.03125,226020080.0562653,599271.21058142,94,241,1778888869080
2054451,KRW-XLM,231.0,-0.0375,14476999837.686539,61653137.93190526,126,18,1778888869080
2054452,KRW-OP,203.0,-0.0558139535,267540585.77605212,1298721.76367445,200,233,1778888869080
2054453,KRW-SAFE,211.0,-0.0365296804,138913352.42881882,644946.03182932,120,256,1778888869080
2054454,KRW-GLM,213.0,-0.0046728972,477730382.7911192,2275351.97432643,25,196,1778888869080
2054455,KRW-SUPER,183.0,-0.0518134715,429527157.93134946,2289299.88619012,190,206,1778888869080
2054456,KRW-LINEA,5.38,-0.0511463845,1024304814.5306526,184242305.2450553,182,130,1778888869080
2054457,KRW-KERNEL,101.0,0.0222672065,4267467667.9674616,40547759.86838267,9,47,1778888869080
2054458,KRW-POKT,16.9,-0.0287356322,576150373.31828,33738656.53278817,81,184,1778888869080
2054459,KRW-SENT,23.3,-0.0291666667,489491602.28962517,20554464.57542293,83,194,1778888869080
2054460,KRW-ZKC,107.0,-0.0530973451,648695997.180411,5957705.37554754,192,171,1778888869080
2054461,KRW-KNC,211.0,-0.0321100917,663153101.6120077,3094653.12098832,102,170,1778888869080
2054462,KRW-ZKP,110.0,-0.0265486726,980608536.0015357,8611013.08119053,72,137,1778888869080
2054463,KRW-AUCTION,7150.0,-0.0165061898,323909396.2359534,45136.57146669,41,220,1778888869080
2054464,KRW-ORDER,81.6,-0.0215827338,737729388.9123316,8943714.09056745,55,158,1778888869080
2054465,KRW-DRIFT,73.2,0.0397727273,47461368317.34624,620499622.3427522,6,7,1778888869080
2054466,KRW-FCT2,18.1,-0.0320855615,200349610.9709721,10925979.83234371,101,246,1778888869080
2054467,KRW-MTL,457.0,-0.0193133047,187626692.4678253,408022.4454346,48,251,1778888869080
2054468,KRW-VET,10.4,-0.037037037,1648101646.8905413,154571994.7675485,124,105,1778888869080
2054469,KRW-TAO,424300.0,-0.0569015337,2961907405.217707,6772.86777551,207,66,1778888869080
2054470,KRW-QTUM,1385.0,-0.0448275862,863914786.7388455,610191.30161362,159,145,1778888869080
2054471,KRW-TT,1.29,-0.030075188,199274950.75334516,152950487.706768,90,247,1778888869080
2054472,KRW-LINK,14970.0,-0.0329457364,7235206824.74733,476929.4130771,104,28,1778888869080
2054473,KRW-XRP,2135.0,-0.0264477884,192756441952.3987,88727175.29046991,70,1,1778888869080
2054474,KRW-CHZ,67.7,0.0335877863,6073015184.706488,91592406.49808754,7,35,1778888869080
2054475,KRW-ASTR,12.9,-0.0152671756,734236387.528086,56111949.52751734,39,159,1778888869080
2054476,KRW-ZK,24.6,-0.0751879699,839166634.2428552,33368722.7489858,245,150,1778888869080
2054477,KRW-STORJ,206.0,0.2875,17375518446.489567,89027576.332707,1,16,1778888869080
2054478,KRW-ENA,165.0,-0.0782122905,5575227955.069418,32434595.78686509,248,37,1778888869080
2054479,KRW-MANA,136.0,-0.0422535211,383415486.53778195,2766253.22615342,146,210,1778888869080
2054480,KRW-OPEN,266.0,-0.0184501845,1977897690.5949879,7378179.45616505,46,92,1778888869080
2054481,KRW-PYTH,69.2,-0.0761014686,1354074149.2360814,19012703.76887664,246,114,1778888869080
2054482,KRW-ENS,10040.0,-0.0419847328,2935408210.87848,288644.09573362,143,68,1778888869080
2054483,KRW-GRT,40.0,-0.0314769976,1315706004.9858017,32171468.66782266,96,116,1778888869080
2054484,KRW-PUMP,2.67,-0.0430107527,566602146.1231542,208213871.57700568,147,186,1778888869080
2054485,KRW-XTZ,543.0,-0.0286225403,191039006.49329272,348427.19612526,80,250,1778888869080
2054486,KRW-CKB,2.27,-0.0462184874,474711356.38680786,206828491.01024783,164,197,1778888869080
2054487,KRW-KAVA,88.3,-0.0535905681,7742148379.46983,80903648.28950405,194,27,1778888869080
2054488,KRW-TOSHI,0.271,-0.0355871886,435492792.7858873,1560113785.023693,113,205,1778888869080
2054489,KRW-BARD,392.0,-0.0248756219,2148127624.759609,5449001.27970992,62,83,1778888869080
2054490,KRW-ZRO,1955.0,-0.0605478136,1783185266.7010465,899597.63987376,219,95,1778888869080
2054491,KRW-RAY,1108.0,-0.0554134697,446822014.2586125,400050.98923999,199,201,1778888869080
2054492,KRW-ONDO,540.0,-0.0592334495,27970166029.045326,50089774.69094088,214,14,1778888869080
2054493,KRW-ZRX,166.0,-0.0348837209,257056716.45959705,1534540.27487532,111,236,1778888869080
2054494,KRW-GMT,17.3,-0.079787234,604839161.6937829,34287303.85442948,249,177,1778888869080
2054495,KRW-TFUEL,16.6,-0.0404624277,257525911.17086312,15293247.66286035,139,235,1778888869080
2054496,KRW-CFG,405.0,-0.0334128878,3683215349.233702,9002563.68296533,106,56,1778888869080
2054497,KRW-AZTEC,31.3,-0.0901162791,7744293631.495071,221916449.44680667,255,26,1778888869080
2054498,KRW-XPL,133.0,-0.0699300699,5148549864.737101,37757082.87153219,237,40,1778888869080
2054499,KRW-ZAMA,40.5,0.0201511335,579144368.5267992,14761902.01604589,10,183,1778888869080
2054500,KRW-MASK,723.0,-0.04743083,351668156.2860483,477202.35862325,167,218,1778888869080
2054501,KRW-COMP,32870.0,-0.0266508736,290716763.1203422,8728.47763107,73,224,1778888869080
2054502,KRW-ZETA,78.7,-0.0518072289,1011058216.1782045,12558995.06563227,189,132,1778888869080
2054503,KRW-RED,201.0,-0.038277512,911873041.2682531,4377478.93406876,130,141,1778888869080
2054504,KRW-TIA,626.0,-0.0874635569,1459337138.155289,2202830.10006752,254,110,1778888869080
2054505,KRW-ADA,388.0,-0.0275689223,10750525725.423414,27388095.21768463,75,20,1778888869080
2054506,KRW-ELF,119.0,-0.0083333333,276520090.76728654,2324859.76234281,29,229,1778888869080
2054507,KRW-SOON,257.0,-0.0265151515,2012134432.2307725,7849575.47231141,71,89,1778888869080
2054508,KRW-STEEM,85.8,-0.0137931034,637168144.3227001,7392259.44446492,33,173,1778888869080
2054509,KRW-ELSA,100.0,-0.0566037736,1136989850.7639613,11181939.74357641,204,123,1778888869080
2054510,KRW-SPK,50.3,0.006,5484056047.857127,109696829.90781043,21,38,1778888869080
2054511,KRW-SOPH,12.5,-0.0458015267,805114832.296625,63179429.89178173,163,152,1778888869080
2054512,KRW-MED,3.14,-0.0278637771,360763757.8686317,113702553.05683419,78,215,1778888869080
2054513,KRW-1INCH,143.0,-0.0337837838,281329322.8736679,1950497.73572778,108,226,1778888869080
2054514,KRW-KAT,13.0,-0.0298507463,2154168204.641287,165666011.16971427,87,82,1778888869080
2054515,KRW-MEW,0.867,-0.0637149028,1695778254.0561585,1919774448.7427685,227,99,1778888869080
2054516,KRW-ORBS,12.7,-0.0230769231,282930478.6501558,22211195.28457358,58,225,1778888869080
2054517,KRW-RENDER,2798.0,-0.0028510335,2581385733.3013926,933166.97536189,24,73,1778888869080
2054518,KRW-ORCA,2185.0,0.0186480186,3438179216.002445,1609782.52129675,12,62,1778888869080
2054519,KRW-BERA,551.0,-0.0862354892,3875939332.4552603,6770470.51462111,253,53,1778888869080
2054520,KRW-SIGN,22.3,-0.05907173,4094802425.839805,180020275.90921316,213,52,1778888869080
2054521,KRW-VANA,2261.0,-0.0199393151,720073841.2171923,313699.36773492,52,162,1778888869080
2054522,KRW-DOT,1959.0,-0.0268256334,1090358068.010657,549681.27784834,74,126,1778888869080
2054523,KRW-EDGE,152.0,-0.0193548387,841654707.1702212,5420793.52884889,49,149,1778888869080
2054524,KRW-MET2,230.0,-0.029535865,216395042.93324316,929352.35088204,85,243,1778888869080
2054525,KRW-MBL,1.4,-0.0277777778,1032208215.4693352,737439918.819073,77,129,1778888869080
2054526,KRW-FLUID,2418.0,-0.058411215,587885805.6054301,229428.55768681,212,180,1778888869080
2054527,KRW-BIGTIME,19.5,-0.0441176471,678242844.4195012,34319551.18630389,154,167,1778888869080
2054528,KRW-SNT,14.9,-0.0197368421,454363257.95706946,30225903.40241882,51,199,1778888869080
2054529,KRW-SOL,132800.0,-0.02567865,31663447169.18478,235213.07164061,68,12,1778888869080
2054530,KRW-QKC,4.56,-0.0379746835,120526622.21671116,26271918.08942669,129,257,1778888869080
2054531,KRW-META,14.2,-0.0405405405,234969239.0468255,16306558.93543867,140,239,1778888869080
2054532,KRW-IRYS,90.9,-0.1174757282,147283412228.09024,1371215340.8133857,258,3,1778888869080
2054533,KRW-SAHARA,56.1,0.02,37458984455.275024,655809323.5936831,11,9,1778888869080
2054534,KRW-MLK,76.4,-0.0316856781,310309294.7453584,4018126.64719069,98,221,1778888869080
2054535,KRW-VTHO,0.815,-0.0512223516,1110383909.6645117,1321640410.13375,183,125,1778888869080
2054536,KRW-KITE,310.0,-0.0251572327,9354849252.49613,29675340.50476072,64,24,1778888869080
2054537,KRW-MINA,90.4,-0.0670794634,603355192.4637154,6515367.40632749,229,178,1778888869080
2054538,KRW-MMT,188.0,-0.0552763819,481201202.3824592,2507387.45719136,198,195,1778888869080
2054539,KRW-CHIP,85.2,-0.0522803115,9407867808.62289,106828348.02665336,191,23,1778888869080
2054540,KRW-ZORA,17.7,-0.0634920635,2029111984.3964996,112476738.4804082,225,88,1778888869080
2054541,KRW-XCN,7.44,-0.0145695364,12026345007.157171,1544248511.628481,37,19,1778888869080
2054542,KRW-GAS,2402.0,-0.0392,1116367496.1512153,459419.28702929,134,124,1778888869080
2054543,KRW-MEGA,149.0,-0.0448717949,6738091410.744816,44860790.11726059,160,31,1778888869080
2054544,KRW-MNT,990.0,-0.0360272639,438335277.3792182,431983.44133264,116,204,1778888869080
2054545,KRW-MOC,40.7,-0.0169082126,142815112.5132233,3486547.61490844,43,255,1778888869080
2054546,KRW-MOODENG,81.7,-0.0576701269,1824043913.1292863,21857012.91979657,209,94,1778888869080
2054547,KRW-XEC,0.0114,-0.0420168067,1670352086.7489498,143982870135.23346,144,102,1778888869080
2054548,KRW-MON,42.2,-0.0409090909,2385222489.6620703,56199945.29277321,142,77,1778888869080
2054549,KRW-ZIL,5.99,-0.0338709677,668511102.5707688,110188720.02248374,109,169,1778888869080
2054550,KRW-GAME2,2.02,-0.0194174757,196758559.40391958,97195213.82172605,50,248,1778888869080
2054551,KRW-STX,373.0,-0.0604534005,4509977992.429312,11788759.54332004,218,44,1778888869080
2054552,KRW-FLOCK,99.4,0.0474183351,5116636593.140075,53252785.45752327,4,41,1778888869080
2054553,KRW-PROVE,370.0,-0.0439276486,167021569.31739125,442677.31647169,152,252,1778888869080
2054554,KRW-BSV,23580.0,-0.0445705024,989042272.2104207,41470.04159441,157,135,1778888869080
2054555,KRW-SUI,1634.0,-0.0689458689,23834259059.035595,14200224.22974099,234,15,1778888869080
2054556,KRW-SYRUP,334.0,-0.0564971751,325478745.4571979,949417.39478807,203,219,1778888869080
2054557,KRW-BTC,117708000.0,-0.0178559509,187758791986.13162,1579.27052343,44,2,1778888869080
2054558,KRW-HOLO,109.0,-0.018018018,1782519719.936269,16122856.62633132,45,96,1778888869080
2054559,KRW-MIRA,117.0,-0.0487804878,931768307.5773877,7858014.22197553,174,140,1778888869080
2054560,KRW-SUN,29.2,-0.0068027211,191662357.68599007,6583640.21221637,27,249,1778888869080
2054561,KRW-ZBT,235.0,0.087962963,10204349103.115702,45260277.91621812,3,21,1778888869080
2054562,KRW-ONG,98.7,-0.06,633818928.7807199,6343497.33706664,217,174,1778888869080
2054563,KRW-BTT,0.00048,-0.0143737166,932790321.8869839,1939504730926.9563,36,139,1778888869080
2054564,KRW-ENSO,1258.0,-0.0440729483,2223531393.0816655,1747971.44131333,153,80,1778888869080
2054565,KRW-BIRB,194.0,-0.0251256281,459082215.4512299,2344290.25324808,63,198,1778888869080
2054566,KRW-ONT,87.7,-0.0498374865,1415916282.654477,15778752.55665445,178,113,1778888869080
2054567,KRW-SOMI,249.0,-0.0496183206,396164404.99487764,1562088.77308163,177,209,1778888869080
2054568,KRW-DEEP,50.5,-0.0578358209,998180225.2224557,19467475.11579982,210,134,1778888869080
2054569,KRW-STRAX,19.3,-0.035,376823543.247964,19253321.46753484,112,213,1778888869080
2054570,KRW-ICP,3886.0,-0.0618058909,2007041269.0328503,495807.47402464,222,90,1778888869080
2054571,KRW-BREV,176.0,-0.0434782609,1013230845.5735279,5558718.27415996,150,131,1778888869080
2054572,KRW-ICX,55.2,-0.044982699,248779566.5430588,4413086.8980335,161,237,1778888869080
2054573,KRW-POLYX,82.5,0.0248447205,54979537617.79852,616596608.3158549,8,6,1778888869080
2054574,KRW-WAXP,9.74,-0.0356435644,217119598.90860406,22109948.58511161,114,242,1778888901069
2054575,KRW-CARV,86.7,-0.0616883117,1288315246.3869295,14399778.69120663,222,117,1778888901069
2054576,KRW-LSK,183.0,-0.0368421053,444519082.3881993,2396788.06427281,122,202,1778888901069
2054577,KRW-0G,759.0,-0.0698529412,1416717037.2011173,1791434.33386822,235,112,1778888901069
2054578,KRW-WIF,305.0,-0.0615384615,1070438271.7607868,3405043.93042218,221,127,1778888901069
2054579,KRW-BORA,53.2,-0.0256410256,552531256.9322515,10267685.67017479,67,188,1778888901069
2054580,KRW-PUNDIX,220.0,-0.0308370044,211864146.85613924,954096.43708525,93,244,1778888901069
2054581,KRW-PROS,1065.0,-0.0291704649,34619402802.961754,30096461.33834455,84,10,1778888901069
2054582,KRW-USD1,1489.0,0.0060810811,162872064.90229556,109696.38091733,21,253,1778888901069
2054583,KRW-BAT,150.0,-0.0384615385,260913909.00846982,1715490.90291565,130,234,1778888901069
2054584,KRW-HUNT,152.0,-0.0256410256,271809461.334371,1776298.67203159,68,232,1778888901069
2054585,KRW-PENGU,13.2,-0.0222222222,3627240165.500853,275170443.632232,57,57,1778888901069
2054586,KRW-FIL,1506.0,-0.0333761232,1980810316.6310415,1305079.28477274,106,91,1778888901069
2054587,KRW-BEAM,2.75,-0.0316901408,279904757.50499296,100196843.35906546,99,227,1778888901069
2054588,KRW-DOOD,4.2,-0.0561797753,1266135986.6571796,293774524.06867343,201,118,1778888901069
2054589,KRW-WAVES,613.0,0.0065681445,1188393213.2189367,1960135.51052371,20,121,1778888901069
2054590,KRW-USDC,1489.0,0.0088075881,1047842867.502794,705711.85784847,17,128,1778888901069
2054591,KRW-MOVE,26.2,-0.0507246377,1963768261.0258336,73478053.34836078,180,93,1778888901069
2054592,KRW-TREE,97.5,-0.0533980583,1571364713.4255106,15762336.57803763,193,107,1778888901069
2054593,KRW-USDE,1485.0,0.0047361299,44784982.99075353,30161.22595245,22,260,1778888901069
2054594,KRW-AERGO,80.5,-0.0098400984,671550206.1228664,8371455.46626094,30,168,1778888901069
2054595,KRW-WET,123.0,-0.0820895522,958197072.4548665,7493215.68909952,252,138,1778888901069
2054596,KRW-USDT,1489.0,0.0074424899,104317224360.81825,70280252.17017972,19,5,1778888901069
2054597,KRW-USDS,1485.0,0.0102040816,119517568.62931272,80461.71143595,16,258,1778888901069
2054598,KRW-2Z,138.0,-0.1038961039,800094302.7933333,5519240.8074974,256,153,1778888901069
2054599,KRW-BOUNTY,30.7,-0.0495356037,447739247.53342396,14359555.7105832,175,200,1778888901069
2054600,KRW-KAITO,661.0,-0.039244186,1663318423.533142,2382345.20621345,135,103,1778888901069
2054601,KRW-LPT,3151.0,-0.0366860287,365675200.5656379,114506.5651821,120,214,1778888901069
2054602,KRW-BLAST,0.699,-0.0476839237,701939328.0722733,985955878.1665585,169,165,1778888901069
2054603,KRW-ETHFI,610.0,-0.0715372907,872220774.2525156,1380679.43618085,240,144,1778888901069
2054604,KRW-DKA,8.75,-0.0234375,854983822.43652,96760706.25923248,60,148,1778888901069
2054605,KRW-ANKR,7.33,-0.0239680426,787659877.1749307,107438381.0357439,62,155,1778888901069
2054606,KRW-ALGO,169.0,-0.0397727273,1672249976.8971193,9773976.86867931,136,101,1778888901069
2054607,KRW-SHIB,0.00912,-0.0318471338,6441324377.443922,697703185684.6749,100,33,1778888901069
2054608,KRW-UNI,5350.0,-0.0281562216,1779228032.2309937,328243.38874704,80,97,1778888901069
2054609,KRW-BIO,62.3,-0.0729166667,9970750109.704788,151538750.0495042,243,22,1778888901069
2054610,KRW-WLFI,98.2,-0.037254902,3388970704.8648973,33698337.23464023,124,63,1778888901069
2054611,KRW-UP2,222.0,-0.1294117647,16686011254.61141,70383205.50018968,260,17,1778888901069
2054612,KRW-TOKAMAK,824.0,-0.0108043217,1316983059.156199,1600485.22599825,31,115,1778888901069
2054613,KRW-SKY,105.0,-0.0277777778,272598322.26024055,2541644.44495564,77,231,1778888901069
2054614,KRW-CYBER,770.0,-0.038701623,526772184.5769809,677905.1000934,133,191,1778888901069
2054615,KRW-SKR,23.2,-0.0333333333,238801429.92390826,10287935.64641682,105,238,1778888901069
2054616,KRW-DOGE,169.0,-0.0058823529,44578352130.57221,263222471.22249275,26,8,1778888901069
2054617,KRW-WLD,365.0,-0.0568475452,4314277278.881509,11662069.34397154,206,46,1778888901069
2054618,KRW-PEPE,0.00582,-0.0364238411,2950471696.735183,499523940047.2546,118,67,1778888901069
2054619,KRW-HBAR,138.0,-0.0142857143,3190528782.9787083,22986259.78350427,35,65,1778888901069
2054620,KRW-BCH,635000.0,-0.0132090132,2568068162.904145,4016.96708121,32,74,1778888901069
2054621,KRW-NEWT,114.0,-0.05,591043876.0538987,5105460.17354809,179,179,1778888901069
2054622,KRW-SEI,94.5,-0.0483383686,4266902821.916002,44163184.53925439,171,48,1778888901069
2054623,KRW-BONK,0.00971,-0.0386138614,1551094059.8675022,156475372739.5827,132,108,1778888901069
2054624,KRW-JST,136.0,0.0149253731,546942799.7513864,4054100.77918452,14,189,1778888901069
2054625,KRW-AAVE,138000.0,-0.0495867769,4129434842.075487,29214.2233168,176,51,1778888901069
2054626,KRW-JTO,671.0,-0.1182654402,4548463695.508198,6237912.03977813,258,43,1778888901069
2054627,KRW-JUP,314.0,-0.0513595166,770771910.2681134,2414850.38941788,186,156,1778888901069
2054628,KRW-VVV,20560.0,-0.0547126437,4713238631.659111,226411.25336068,197,42,1778888901069
2054629,KRW-PIEVERSE,1480.0,0.0136986301,33021867951.541206,22495091.73002561,15,11,1778888901069
2054630,KRW-ALT,10.3,-0.0636363636,402157487.52944994,38048732.58678364,226,208,1778888901069
2054631,KRW-B3,1.59,-0.0755813953,7090815831.150364,4363940911.772369,245,29,1778888901069
2054632,KRW-LAYER,143.0,-0.0337837838,3794223992.847868,26518622.950671,108,55,1778888901069
2054633,KRW-TRX,525.0,0.0038240918,2763738292.8945713,5284549.07431881,23,72,1778888901069
2054634,KRW-POWR,96.5,-0.0082219938,897744968.6935658,9177895.53738589,28,143,1778888901069
2054635,KRW-ATOM,2876.0,-0.0479973519,729448893.94749,248282.91516726,170,160,1778888901069
2054636,KRW-ARKM,187.0,-0.065,582056569.9165392,3021807.986571,228,182,1778888901069
2054637,KRW-CRO,108.0,-0.0442477876,2107615141.2063003,18937005.27667635,156,85,1778888901069
2054638,KRW-NXPC,504.0,-0.0508474576,688907765.2817684,1334742.97954333,181,166,1778888901069
2054639,KRW-A,129.0,-0.0514705882,626459342.9015181,4756993.91398729,187,175,1778888901069
2054640,KRW-TRUMP,3346.0,-0.0469951581,6137329172.128362,1801377.51797621,165,34,1778888901069
2054641,KRW-F,8.19,-0.03985932,381640174.1454156,45819391.79940152,137,212,1778888901069
2054642,KRW-G,5.5,-0.0367775832,382868406.824658,69109402.22850299,121,211,1778888901069
2054643,KRW-CELO,133.0,-0.0220588235,705495988.0021093,5308188.02177105,56,163,1778888901069
2054644,KRW-AERO,665.0,-0.0699300699,232660719.93072066,339459.14825083,236,240,1778888901069
2054645,KRW-CTC,223.0,-0.0304347826,726746082.0467497,3236944.04509815,91,161,1778888901069
2054646,KRW-ANIME,6.81,-0.0421940928,862672882.424795,125279930.98517928,146,146,1778888901069
2054647,KRW-APT,1471.0,-0.0540192926,2780311269.646733,1852313.73324118,196,69,1778888901069
2054648,KRW-MOCA,20.6,-0.0593607306,498642627.2968262,24066062.90269605,216,193,1778888901069
2054649,KRW-API3,518.0,-0.0442804428,1004564208.0844542,1896539.56360943,157,133,1778888901069
2054650,KRW-AHT,2.27,-0.0299145299,161626449.12502,70415171.64510176,88,254,1778888901069
2054651,KRW-EGLD,6245.0,-0.0516324981,293473720.50198215,46233.92162003,188,223,1778888901069
2054652,KRW-BLEND,166.0,-0.0674157303,2767053037.861831,16315703.12711945,230,71,1778888901069
2054653,KRW-ERA,198.0,-0.0434782609,278595349.2327536,1393756.12137666,149,228,1778888901069
2054654,KRW-FF,133.0,0.1465517241,29158449943.304024,223172542.31794322,2,13,1778888901069
2054655,KRW-PLUME,18.0,-0.0721649485,1587133308.7590914,85326796.5945931,242,106,1778888901069
2054656,KRW-ESP,112.0,0.046728972,2295514685.3517027,20636789.08735314,5,79,1778888901069
2054657,KRW-CC,235.0,-0.0289256198,1726744514.9077485,7102172.46510163,83,98,1778888901069
2054658,KRW-NEO,4433.0,-0.0435814455,856107734.7542583,189678.48879844,152,147,1778888901069
2054659,KRW-ETC,13780.0,-0.0150107219,2776229694.5229707,202417.23894482,38,70,1778888901069
2054660,KRW-IOTA,86.4,-0.0629067245,793760075.4450064,8901852.64142596,225,154,1778888901069
2054661,KRW-IOST,1.64,-0.0574712644,310069577.29253745,189059783.13562348,208,222,1778888901069
